time,open,high,low,close,MA №1,MA №2,MA №3,MA №4,Volume,Volume MA,Plot,Shapes,RSI,MF
1543276800,3864.45,3940,3689.12,3875.21,4365.793104767161,5234.20228958742,6023.489599999998,6705.897100000006,67480.607212,45218.25424025,-1568.8885928571415,0,16.65918489527222,-0.10305447267270115
1543363200,3875.63,4394.47,3874.27,4264.85,4345.604483813729,5162.398416284648,5975.6543999999985,6684.891650000005,91983.567949,49154.4431736,-1532.6619499999983,0,29.77874736631773,-0.03686868911134658
1543449600,4262.06,4450.38,4125.65,4295.84,4335.651587050983,5098.208903967266,5928.951199999998,6662.972300000005,73980.198669,52264.07227789999,-1473.1903428571406,0,30.71298250981002,-0.025410421144051978
1543536000,4295.72,4341.36,3943,4041.32,4276.785269640786,5019.920837006728,5884.723999999998,6639.862200000004,67758.446283,55266.25309575,-1437.0422892857118,0,27.47942699022994,-0.05286062836883274
1543622400,4041.27,4299.99,3963.01,4190.02,4259.432215712629,4958.446700932156,5842.564199999998,6618.502300000006,44840.073481,57097.58141395,-1346.9249249999975,0,31.984870962246475,-0.04306429758821034
1543708800,4190.98,4312.99,4103.04,4161.01,4239.747772570103,4899.3773156779225,5799.125799999998,6597.657350000006,38912.15479,58536.550025100005,-1239.9569428571406,0,31.572763567514002,-0.05553788231100922
1543795200,4160.55,4179,3827,3884.01,4168.600218056083,4824.164921924003,5750.019199999998,6576.870100000005,49094.369163,60401.74023660001,-1159.9813607142833,0,27.87907039554301,-0.08368914286457198
1543881600,3884.76,4085,3781,3951.64,4125.208174444866,4759.533446225928,5694.0019999999995,6555.429250000004,48489.551613,60502.26961710001,-1056.5397035714261,0,30.03133714012901,-0.0649223612446883
1543968000,3950.98,3970,3745,3769.84,4054.134539555893,4686.222820579563,5634.213399999999,6533.111000000004,44004.799448,60317.468119450015,-974.0814607142833,0,27.64318477804818,-0.10562866363516406
1544054400,3768.44,3899.99,3500,3508.75,3945.057631644714,4599.002611647743,5569.570599999999,6508.019850000004,68378.796943,61800.31785290003,-923.6008928571405,0,24.615708527195636,-0.1532795312844985
1544140800,3508.75,3549.99,3224.6,3403.55,3836.7561053157715,4510.4505663405025,5505.2624,6483.131400000004,95145.457442,65237.028654350026,-863.9843999999975,0,23.498969556791067,-0.1455900734800528
1544227200,3403.57,3495,3222,3410.93,3751.5908842526173,4429.004598463428,5442.903399999999,6460.300500000004,55365.949949,66813.07618445004,-778.0985142857122,0,23.760273501512174,-0.12165069258582167
1544313600,3411.36,3658,3394.04,3545.37,3710.3467074020937,4363.550183762433,5382.042799999999,6440.517600000004,45956.893296,65581.87620645003,-684.907207142855,0,28.54821245604994,-0.07230694746655657
1544400000,3548.49,3610,3370.11,3432.88,3654.853365921675,4294.6116516318825,5318.8982,6419.806950000003,40989.244553,61762.29085460004,-620.1545678571406,0,27.01920388548173,-0.058845459056961834
1544486400,3434.01,3480,3324.32,3380.39,3599.96069273734,4226.8915292887805,5254.882,6399.423900000003,35920.864154,60504.74258855004,-551.3160571428546,0,26.311067662136438,-0.08473920409987858
1544572800,3379.23,3492,3350,3445,3568.968554189872,4168.973638230353,5192.7118,6379.979100000004,33922.931286,60474.333195700034,-488.68765357142627,0,28.785196954523556,-0.05191797820675284
1544659200,3446.38,3460,3255.5,3302.06,3515.5868433518976,4104.757813176252,5127.443,6359.794450000004,40040.917013,60007.78303025003,-447.8278464285695,0,26.653101700245756,-0.09165258641277249
1544745600,3302.06,3335.39,3177,3224.17,3457.3034746815183,4039.5290862743077,5061.3646,6340.420300000003,44492.983807,59147.77667030003,-454.5091714285684,0,25.54285511141427,-0.07204547909710181
1544832000,3225.19,3276.5,3156.26,3211.72,3408.1867797452146,3978.209894698433,4994.826400000001,6319.172450000004,29796.041436,55552.87996270003,-446.6366607142819,0,25.361006284549205,-0.12387736400038889
1544918400,3211.71,3294,3186,3228.67,3372.2834237961715,3922.6884210170674,4929.287800000001,6298.436000000003,24628.808538,52059.13285125003,-458.6907571428536,0,26.132055522635056,-0.10433454267560026
